alternative_names,classification,first_name,frequency_female,frequency_male,frequency_total,frequency_group,group_name,ratio,
AELI|AILI|AILY|ALEI|ALEIR|ALEY|ALI|ALIR|ALUIR|ALY|AULEIR|AULI|EILI|ELEI|ELEIR|ELEY|ELHI|ELI|ELIR|ELIY|ELUI|ELUIR|ELY|ELYR|EOLI|EULI|EULIR|EULY|HALEI|HALEY|HALI|HALY|HELEI|HELEY|HELI|HELII|HELIR|HELY|HIALI|HIALY|HIULI|HIULY|HULI|HULY|IALEI|IALEY|IALI|IALY|IELI|IELY|ILEI|ILEIR|ILI|ILIR|ILUI|ILUIR|ILY|IOLI|IOLY|IULI|IULY|LEHI|LEHY|LEI|LEIR|LEY|LEYR|LI|LUI|LUIR|LUY|LY|OLEI|OLEIR|OLI|OLIR|UALI|UELEI|UELI|UILI|ULI|ULY|YALI|YALY|YOLI|YULI|YULY,M,OLY,31,150,181,70523,ELI,0.8287292817679558,3
HOMAR|OMAR|YOMAR,M,OMA,,34,34,8762,OMAR,1.0,3
ONAR|YOHNA|YONA|YONAH|YONAR|YONNA,F,ONA,50,49,99,919,YONA,0.5050505050505051,3
YONE|YONNE,M,ONE,26,27,53,2771,YONE,0.5094339622641509,3
HONEI|HONEY|HONI|ONEI|ONEIR|ONEY|ONIR|ONY|YONI|YONY,M,ONI,208,282,490,2064,ONEI,0.5755102040816327,3
HONEI|HONEY|HONI|ONEI|ONEIR|ONEY|ONI|ONIR|YONI|YONY,F,ONY,57,44,101,2064,ONEI,0.5643564356435643,3
ORY|YORI,M,ORI,,323,323,562,ORI,1.0,3
ORI|YORI,M,ORY,,35,35,562,ORI,1.0,3
OSEIR|OSIR|OZEI|OZEIR|OZI|OZIR|OZY,M,OSI,,132,132,1115,OZI,1.0,3
HOTO|OTHO|OTOR,M,OTO,,1886,1886,2143,OTO,1.0,3
HOSE|OSE,M,OZE,,23,23,293,OSE,1.0,3
OSEIR|OSI|OSIR|OZEI|OZEIR|OZIR|OZY,M,OZI,25,388,413,1115,OZI,0.9394673123486683,3
OSEIR|OSI|OSIR|OZEI|OZEIR|OZI|OZIR,M,OZY,,25,25,1115,OZI,1.0,3
PIA,M,PAI,,163,163,301,PAI,1.0,3
,F,PAT,25,,25,25,PAT,1.0,3
,F,PAZ,86,,86,86,PAZ,1.0,3
PE,M,PER,,41,41,41,PER,1.0,3
PAI,F,PIA,138,,138,301,PAI,1.0,3
,M,PIO,,1314,1314,1314,PIO,1.0,3
,M,QIU,23,25,48,48,QIU,0.5208333333333334,3
RAPH,M,RAF,,25,25,49,RAF,1.0,3
RAHI|RAIR|RAUI|RAUY|RAY|RAYR|RHAI|RHAY|RIA|RYA,M,RAI,428,21157,21585,31233,RAI,0.9801714153347232,3
RHAN,M,RAN,,57,57,96,RAN,1.0,3
RAUR,M,RAU,28,3800,3828,3904,RAU,0.9926854754440961,3
RAHI|RAI|RAIR|RAUI|RAUY|RAYR|RHAI|RHAY|RIA|RYA,M,RAY,228,5473,5701,31233,RAI,0.9600070163129275,3
RHEA,F,REA,73,,73,119,REA,1.0,3
RAED,M,RED,,31,31,60,RED,1.0,3
REY|RI|RUI|RUY,M,REI,,121,121,45776,RUI,1.0,3
,M,REX,,29,29,29,REX,1.0,3
REI|RI|RUI|RUY,M,REY,,38,38,45776,RUI,1.0,3
RIK,M,RIC,,123,123,348,RIK,1.0,3
,F,RIE,31,,31,31,RIE,1.0,3
RIC,M,RIK,,225,225,348,RIK,1.0,3
,M,RIO,,57,57,57,RIO,1.0,3
ROD,M,ROB,,189,189,265,ROB,1.0,3
ROB,M,ROD,33,43,76,265,ROB,0.5657894736842105,3
ROY,M,ROI,,92,92,327,ROY,1.0,3
ROC,M,ROK,,161,161,209,ROK,1.0,3
,M,RON,,76,76,76,RON,1.0,3
ROSR,F,ROS,106,,106,134,ROS,1.0,3
ROI,M,ROY,,235,235,327,ROY,1.0,3
RHUA|RUAH,M,RUA,,322,322,385,RUA,1.0,3
RUD,M,RUB,,38,38,216,RUD,1.0,3
RUB,M,RUD,,178,178,216,RUD,1.0,3
REI|REY|RI|RUY,M,RUI,122,38211,38333,45776,RUI,0.996817363629249,3
RAAEL|RAEL|RAHAEL|RAHEL|RAIL|RAIOL|RAL|RAUEL|RAUL|RAYEL|RAYOL|REIEL|REUEL|REUL|REYEL|RHAEL|RHAUL|RIEL|ROEL|ROIL|RUAL,M,RUL,,26,26,63202,RAUL,1.0,3
RHUT|RUHT|RUTH,F,RUT,821,,821,46000,RUTH,1.0,3
REI|REY|RI|RUI,M,RUY,,7284,7284,45776,RUI,1.0,3
RAHI|RAI|RAIR|RAUI|RAUY|RAY|RAYR|RHAI|RHAY|RIA,M,RYA,,57,57,31233,RAI,1.0,3
RO,M,RYO,,29,29,29,RYO,1.0,3
RIU,M,RYU,,89,89,149,RYU,1.0,3
SAAD,M,SAD,23,38,61,233,SAAD,0.6229508196721312,3
SAN|ZAN|ZHAN,M,SAM,23,186,209,647,SAN,0.8899521531100478,3
SAM|ZAN|ZHAN,M,SAN,58,380,438,647,SAN,0.867579908675799,3
SAYO|ZHAO,M,SAO,115,162,277,436,SAO,0.5848375451263538,3
SA|SAHA|SAHAR|SARH|ZA,F,SAR,26,,26,474,SAHA,1.0,3
SAUR|ZAU,M,SAU,,677,677,757,SAU,1.0,3
SEIEI|SEIR|SI|SIR|SUEI|SUEY|SUI|SUY|ZEI|ZEIR|ZEY|ZI,F,SEI,22,20,42,879,SEIR,0.5238095238095238,3
ZEN|ZHEN,M,SEM,146,208,354,471,SEM,0.5875706214689266,3
CHOU|CHU|XU,F,SHU,45,33,78,228,CHU,0.5769230769230769,3
SEID|SUEID,M,SID,30,800,830,933,SID,0.963855421686747,3
SAEL|SAL|SAUEL|SAUL|SIEL|SOEL|SOL|SUAIL|SUEL|SUHAIL|ZAEL|ZAIL|ZAUL|ZEL|ZIEL|ZIL|ZOEL|ZUEL|ZUIL,M,SIL,38,65,103,7853,SAUL,0.6310679611650486,3
ZEIN,F,SIN,20,,20,20,SIN,1.0,3
SEI|SEIEI|SEIR|SI|SUEI|SUEY|SUI|SUY|ZEI|ZEIR|ZEY|ZI,M,SIR,,40,40,879,SEIR,1.0,3
SAEL|SAL|SAUEL|SAUL|SIEL|SIL|SOEL|SUAIL|SUEL|SUHAIL|ZAEL|ZAIL|ZAUL|ZEL|ZIEL|ZIL|ZOEL|ZUEL|ZUIL,F,SOL,380,147,527,7853,SAUL,0.7210626185958254,3
ZYON,M,SON,22,68,90,168,SON,0.7555555555555555,3
ZUE,F,SUE,633,,633,714,SUE,1.0,3
SEI|SEIEI|SEIR|SI|SIR|SUEI|SUEY|SUY|ZEI|ZEIR|ZEY|ZI,F,SUI,48,,48,879,SEIR,1.0,3
,F,SUN,203,116,319,319,SUN,0.6363636363636364,3
SEI|SEIEI|SEIR|SI|SIR|SUEI|SUEY|SUI|ZEI|ZEIR|ZEY|ZI,F,SUY,37,,37,879,SEIR,1.0,3
TAHER|TE,M,TAE,47,80,127,147,TAE,0.6299212598425197,3
TAIR|TAUI|TAY|THAI|THAY|TIA,F,TAI,90,62,152,394,TAI,0.5921052631578947,3
TAHAN|TAN|THAN,M,TAM,,24,24,202,TAN,1.0,3
TAHAN|TAM|THAN,M,TAN,62,96,158,202,TAN,0.6075949367088608,3
,M,TAO,,30,30,30,TAO,1.0,3
THEA,F,TEA,56,,56,168,THEA,1.0,3
THED,M,TED,,567,567,588,TED,1.0,3
TAEL|THAEL|THEL|THIEL|TIEL,M,TEL,34,451,485,899,TEL,0.9298969072164949,3
THEO,M,TEO,29,1781,1810,6640,THEO,0.9839779005524862,3
TESS,M,TEX,,42,42,87,TESS,1.0,3
TAI|TAIR|TAUI|TAY|THAI|THAY,F,TIA,39,,39,394,TAI,1.0,3
THIE|THIER,F,TIE,109,91,200,231,TIE,0.545,3
,M,TIM,,123,123,123,TIM,1.0,3
THOM|THON|TON,M,TOM,,771,771,974,TOM,1.0,3
THOM|THON|TOM,M,TON,,152,152,974,TOM,1.0,3
THOR|TO,M,TOR,,57,57,461,THOR,1.0,3
THUA,M,TUA,,27,27,53,TUA,1.0,3
HUAM|HUAN|HUANN,M,UAN,,146,146,1354,HUAN,1.0,3
HUDA,F,UDA,181,,181,451,HUDA,1.0,3
HUBER|UBER,M,UDE,,20,20,159,HUBER,1.0,3
HUDO,M,UDO,,871,871,976,UDO,1.0,3
HUGO|HUGOR|UGOR,M,UGO,37,5659,5696,107722,HUGO,0.9935042134831461,3
AEL|AIL|AL|EL|HIEL|HIL|HOEL|IEL|IL|OEL|UEL|YAEL|YUL,M,UIL,,66,66,476,YAEL,1.0,3
AILA|AILHA|AIULA|ALA|ALAA|ALAR|ALHA|AULA|AYALA|AYLA|EILA|ELA|ELAR|ELHA|EOLA|EULA|EULAR|EYLA|HAILA|HALA|HAYALA|HAYLA|HEILA|HELA|HELHA|HEULA|HEYLA|HIALA|HILA|HIULA|HUILHA|HYLA|IAILA|IALA|IELA|ILA|ILAR|ILHA|IOLA|IOLAR|IULA|LA|LAR|OLA|OLAR|UAILA|UALA|UEILA|UILA|UILHA|YALA|YLA|YOLA|YULA,F,ULA,63,,63,23950,AILA,1.0,3
AELE|AILE|ALAER|ALE|ALER|AULER|AYLE|EILER|ELE|ELER|EULE|EULER|EULHER|HAILE|HALE|HEILER|HELE|HELER|HEULER|HIALE|HILER|HULE|IALE|IELE|ILE|ILER|IOLE|IULE|LAE|LAER|LE|OLE|UELE|UELER|UEULER|UILE|UILER|YALE|YOLE|YULE,F,ULE,28,,28,12371,EULER,1.0,3
ALF|ALFF|HALF|HALPH,M,ULF,,29,29,269,ALF,1.0,3
AELI|AILI|AILY|ALEI|ALEIR|ALEY|ALI|ALIR|ALUIR|ALY|AULEIR|AULI|EILI|ELEI|ELEIR|ELEY|ELHI|ELI|ELIR|ELIY|ELUI|ELUIR|ELY|ELYR|EOLI|EULI|EULIR|EULY|HALEI|HALEY|HALI|HALY|HELEI|HELEY|HELI|HELII|HELIR|HELY|HIALI|HIALY|HIULI|HIULY|HULI|HULY|IALEI|IALEY|IALI|IALY|IELI|IELY|ILEI|ILEIR|ILI|ILIR|ILUI|ILUIR|ILY|IOLI|IOLY|IULI|IULY|LEHI|LEHY|LEI|LEIR|LEY|LEYR|LI|LUI|LUIR|LUY|LY|OLEI|OLEIR|OLI|OLIR|OLY|UALI|UELEI|UELI|UILI|ULY|YALI|YALY|YOLI|YULI|YULY,F,ULI,306,70,376,70523,ELI,0.8138297872340425,3
AELI|AILI|AILY|ALEI|ALEIR|ALEY|ALI|ALIR|ALUIR|ALY|AULEIR|AULI|EILI|ELEI|ELEIR|ELEY|ELHI|ELI|ELIR|ELIY|ELUI|ELUIR|ELY|ELYR|EOLI|EULI|EULIR|EULY|HALEI|HALEY|HALI|HALY|HELEI|HELEY|HELI|HELII|HELIR|HELY|HIALI|HIALY|HIULI|HIULY|HULI|HULY|IALEI|IALEY|IALI|IALY|IELI|IELY|ILEI|ILEIR|ILI|ILIR|ILUI|ILUIR|ILY|IOLI|IOLY|IULI|IULY|LEHI|LEHY|LEI|LEIR|LEY|LEYR|LI|LUI|LUIR|LUY|LY|OLEI|OLEIR|OLI|OLIR|OLY|UALI|UELEI|UELI|UILI|ULI|YALI|YALY|YOLI|YULI|YULY,F,ULY,183,31,214,70523,ELI,0.8551401869158879,3
,F,UNA,44,,44,44,UNA,1.0,3
HURI|HURY|URY|YOURI,M,URI,,210,210,376,URI,1.0,3
HURI|HURY|URI|YOURI,M,URY,,46,46,376,URI,1.0,3
HUTE,F,UTE,44,,44,82,UTE,1.0,3
,M,UWE,,93,93,93,UWE,1.0,3
,M,UZI,,26,26,26,UZI,1.0,3
VAIL,M,VAL,569,968,1537,1708,VAL,0.6297983083929733,3
VAN,M,VAM,,20,20,546,VAN,1.0,3
VAM,M,VAN,52,474,526,546,VAN,0.9011406844106464,3
,M,VAZ,,28,28,28,VAZ,1.0,3
VIK,F,VIC,23,,23,23,VIC,1.0,3
,M,VON,,49,49,49,VON,1.0,3
WAIR,M,WAI,,20,20,47,WAIR,1.0,3
WAIL|WEL|WIL|WUIL,M,WAL,35,54,89,522,WIL,0.6067415730337079,3
,M,WAN,30,187,217,217,WAN,0.8617511520737328,3
,M,WED,,32,32,32,WED,1.0,3
,M,WEI,38,68,106,106,WEI,0.6415094339622641,3
,M,WES,,22,22,22,WES,1.0,3
WEIK,M,WIK,,25,25,64,WEIK,1.0,3
WAIL|WAL|WEL|WUIL,M,WIL,21,339,360,522,WIL,0.9416666666666667,3
,M,WON,,68,68,68,WON,1.0,3
HAIM|HIAM|HIAN|HIANN|HYAM|HYAN|HYANN|IAM|IAN|IANN|IHAN|IYAN|UIAN|YAHN|YAN|YANN|YHAN|YHANN,M,YAM,,856,856,70388,IAN,1.0,3
HAIM|HIAM|HIAN|HIANN|HYAM|HYAN|HYANN|IAM|IAN|IANN|IHAN|IYAN|UIAN|YAHN|YAM|YANN|YHAN|YHANN,M,YAN,373,25732,26105,70388,IAN,0.9857115495115878,3
,F,YEN,22,20,42,42,YEN,0.5238095238095238,3
EIGO|EIGOR|HEIGO|HIGO|HIGOR|HUIGO|HUIGOR|HYGO|HYGOR|IGHOR|IGO|IGOR|IGUOR|IIGOR|UIGO|UIGOR|YGHOR|YGOR|YIGOR,M,YGO,,515,515,315935,IGOR,1.0,3
IN,M,YIN,23,28,51,51,YIN,0.5490196078431373,3
AILA|AILHA|AIULA|ALA|ALAA|ALAR|ALHA|AULA|AYALA|AYLA|EILA|ELA|ELAR|ELHA|EOLA|EULA|EULAR|EYLA|HAILA|HALA|HAYALA|HAYLA|HEILA|HELA|HELHA|HEULA|HEYLA|HIALA|HILA|HIULA|HUILHA|HYLA|IAILA|IALA|IELA|ILA|ILAR|ILHA|IOLA|IOLAR|IULA|LA|LAR|OLA|OLAR|UAILA|UALA|UEILA|UILA|UILHA|ULA|YALA|YOLA|YULA,F,YLA,54,,54,23950,AILA,1.0,3
EINA|EINAR|HEINA|HINA|INA|INAH|INAR|INHA|INNA|UINA,F,YNA,43,,43,4857,INA,1.0,3
HYON|ON,M,YON,,63,63,63,YON,1.0,3
EIRA|HIRA|IRA|UIRA|UYRA,F,YRA,20,,20,1989,IRA,1.0,3
EISA|EIZA|HISA|HIZA|ISA|ISAR|IZA|IZAR|UISA|UIZA|YZA,F,YSA,93,,93,20641,ISA,1.0,3
AEL|AIL|AL|EL|HIEL|HIL|HOEL|IEL|IL|OEL|UEL|UIL|YAEL,M,YUL,,24,24,476,YAEL,1.0,3
IUR|YU,M,YUR,,46,46,82,YUR,1.0,3
EIVE|IVE|IVER,F,YVE,137,,137,1029,IVE,1.0,3
IVI|IVY|YVY,F,YVI,100,,100,2353,IVY,1.0,3
HIVO|IVO|IVOR|UIVO,M,YVO,,99,99,63689,IVO,1.0,3
IVI|IVY|YVI,F,YVY,28,,28,2353,IVY,1.0,3
EISA|EIZA|HISA|HIZA|ISA|ISAR|IZA|IZAR|UISA|UIZA|YSA,F,YZA,61,,61,20641,ISA,1.0,3
ZAC,M,ZAK,,25,25,72,ZAC,1.0,3
SAU|SAUR,M,ZAU,,47,47,757,SAU,1.0,3
SEM|ZHEN,M,ZEN,,26,26,471,SEM,1.0,3
SEU,M,ZEU,,33,33,283,SEU,1.0,3
HSU|SOU|SU|ZHOU|ZOU|ZU,M,ZHU,89,91,180,416,ZHU,0.5055555555555555,3
SOE|ZOER,F,ZOE,1175,144,1319,1373,ZOE,0.8908263836239575,3
SUE,F,ZUE,81,,81,714,SUE,1.0,3
HUGH,M,HUG,,31,31,55,HUG,1.0,3
HOUGA|HUGA|OUGA,F,UGA,30,,30,389,OUGA,1.0,3
DIO|DIOR,M,BIO,,128,128,299,DIO,1.0,3
CEI|CEIR|CI|KEI|KEY|KI,M,CIR,,36,36,518,CEIR,1.0,3
GAIR|GIA|GUIA|JAHIR|JAHY|JAHYR|JAI|JAIR|JAUIR|JAY|JAYR|JHAIR|JUIA,M,JIA,,30,30,153936,JAIR,1.0,3
SEI|SEIEI|SEIR|SI|SIR|SUEI|SUEY|SUI|SUY|ZEIR|ZEY|ZI,M,ZEI,,24,24,879,SEIR,1.0,3
AELI|AILI|AILY|ALEI|ALEIR|ALEY|ALI|ALIR|ALUIR|ALY|AULEIR|AULI|EILI|ELEI|ELEIR|ELEY|ELHI|ELI|ELIR|ELIY|ELUI|ELUIR|ELY|ELYR|EOLI|EULI|EULIR|EULY|HALEI|HALEY|HALI|HALY|HELEI|HELEY|HELI|HELII|HELIR|HELY|HIALI|HIALY|HIULI|HIULY|HULI|HULY|IALEI|IALEY|IALI|IALY|IELI|IELY|ILEI|ILEIR|ILI|ILIR|ILUI|ILUIR|IOLI|IOLY|IULI|IULY|LEHI|LEHY|LEI|LEIR|LEY|LEYR|LI|LUI|LUIR|LUY|LY|OLEI|OLEIR|OLI|OLIR|OLY|UALI|UELEI|UELI|UILI|ULI|ULY|YALI|YALY|YOLI|YULI|YULY,F,ILY,35,,35,70523,ELI,1.0,3
SAEL|SAUEL|SAUL|SIEL|SIL|SOEL|SOL|SUAIL|SUEL|SUHAIL|ZAEL|ZAIL|ZAUL|ZEL|ZIEL|ZIL|ZOEL|ZUEL|ZUIL,M,SAL,,69,69,7853,SAUL,1.0,3
JAHN|JAM|JAN|JANN|JHAN,M,GAN,,24,24,2892,JAN,1.0,3
ACEIR|ACI|ACIR|ACY|ACYR,F,AKI,51,,51,5973,ACIR,1.0,3
JHOHN|JHOM|JHON|JHONH|JHONN|JOHM|JOHN|JOHNN|JON|JONH|JONHN|JONN|JONNH,M,JOM,,144,144,48757,JOHN,1.0,3
KAU,M,CAU,,74,74,175,KAU,1.0,3
ELU|LOU|LU,M,ALU,,23,23,102,LOU,1.0,3
WAIL|WAL|WIL|WUIL,M,WEL,,27,27,522,WIL,1.0,3
HYE|IE|YE|YEH,F,YAE,46,,46,121,HYE,1.0,3
ZAK,M,ZAC,,47,47,72,ZAC,1.0,3
AAN|AHN|AN|ANN,M,HAN,25,58,83,268,ANN,0.6987951807228916,3
GEAR|JEA|JEAR,M,GEA,,106,106,310,JEA,1.0,3
EIKE|EUICE|EYKE|HEIKE|IKE|IKER,F,ICE,26,,26,1015,EIKE,1.0,3
AELDO|AILDO|ALBO|ALDO|ALDOR|EALDO|EILDO|ELBO|ELDO|ELDOR|EUALDO|HAILDO|HALDO|HELDO|HILDO|HILDOR|IALDO|IELDO|ILDO|ILDOR|OILDO|UALDO|UELDO|UILDO,M,LDO,,48,48,55958,ALDO,1.0,3
GAEL|GAIL|GAL|GEEL|GEIEL|GEIL|GEL|GIEL|GIL|GOEL|GUEL|GUIL|JAEL|JAIL|JAL|JAUL|JEEL|JEIEL|JEIL|JEUEL|JEYEL|JHOL|JIEL|JIL|JOAEL|JOAL|JOEL|JOIEL|JOIL|JOL|JUEL,M,JEL,,26,26,159398,JOEL,1.0,3
MAI|MAIR|MAUI|MAUIR|MAY|MAYR|MIYA,F,MIA,132,,132,1892,MAIR,1.0,3
HOSE|OZE,M,OSE,,249,249,293,OSE,1.0,3
MAUO,M,MAO,,20,20,68,MAUO,1.0,3
THIS|THIZ|THYS,F,TIS,22,,22,387,THIS,1.0,3
CO|COR|KO|KUO,F,KYO,34,27,61,249,COR,0.5573770491803278,3
HUDI|HUDY|UDIR,M,UDI,,50,50,107,UDI,1.0,3
HANNS|HANS|HANZ,F,ANS,176,,176,2163,HANS,1.0,3
EIRI|IREI|IRI|IYRI|UIRI|YIRI|YUIRI,M,YRI,,28,28,458,IRI,1.0,3
ZOE|ZOER,F,SOE,26,,26,1373,ZOE,1.0,3
RAAEL|RAEL|RAHAEL|RAHEL|RAIL|RAIOL|RAUEL|RAUL|RAYEL|RAYOL|REIEL|REUEL|REUL|REYEL|RHAEL|RHAUL|RIEL|ROEL|ROIL|RUAL|RUL,M,RAL,,317,317,63202,RAUL,1.0,3
BETH,F,BET,20,,20,1291,BETH,1.0,3
EINI|EINIR|EINY|HEINI|INEI|INEIR|INEY|INI|INIR|UINI|UINY,F,INY,37,,37,778,INI,1.0,3
ANOR,M,ANO,,29,29,616,ANOR,1.0,3
STER|STHER,F,STE,32,,32,2581,STER,1.0,3
AID|HAID,F,AYD,23,,23,192,AID,1.0,3
AILA|AILHA|AIULA|ALA|ALAA|ALAR|ALHA|AULA|AYALA|AYLA|EILA|ELA|ELAR|ELHA|EOLA|EULA|EULAR|EYLA|HAILA|HALA|HAYALA|HAYLA|HEILA|HELA|HELHA|HEULA|HEYLA|HIALA|HILA|HIULA|HUILHA|HYLA|IAILA|IALA|IELA|ILA|ILAR|ILHA|IOLA|IOLAR|IULA|LA|LAR|OLAR|UAILA|UALA|UEILA|UILA|UILHA|ULA|YALA|YLA|YOLA|YULA,F,OLA,29,,29,23950,AILA,1.0,3
EB|ED|HEB|HED,M,EDR,,29,29,120,HED,1.0,3
ALVA|ALVAR|ELVA|HILVA|IELVA|ILVA|YELVA,F,LVA,61,49,110,4144,ILVA,0.5545454545454546,3
MAEL|MAIL|MAOEL|MAUEL|MEL|MIEL|MIHAEL|MIHAIL|MIHEL|MIUEL|MOEL,M,MIL,,25,25,5487,MEL,1.0,3
GAEL|GAIL|GAL|GEEL|GEIEL|GEIL|GEL|GIEL|GIL|GOEL|GUEL|GUIL|JAEL|JAIL|JAUL|JEEL|JEIEL|JEIL|JEL|JEUEL|JEYEL|JHOL|JIEL|JIL|JOAEL|JOAL|JOEL|JOIEL|JOIL|JOL|JUEL,M,JAL,,31,31,159398,JOEL,1.0,3
NAAM|NAAN|NAHAN|NAN,F,NAM,24,21,45,284,NAAN,0.5333333333333333,3
CAELE|CAILE|CALE|CAUELE|CEILE|CELE|CIELE|CILE|CLAER|CLER|KAELE|KAILE|KAILER|KALE|KAUELE|KAYLE|KEILE|KEILER|KELE|KELER|KEULE|KEULER|KEYLE|KEYLER|KIELE|KLER|KUELE|KYLE,F,CLE,26,20,46,9497,KELE,0.5652173913043478,3
ESI|ESIR|EZEIR|EZI|EZIR|EZY|HEZIR,F,ESY,21,,21,963,EZIR,1.0,3
AEDI|AEDIR|EBI|EDEI|EDEIR|EDI|EDIR|EDUI|EDUIR|EDY|EDYR|HEBI|HEBY|HEDI|HEDIR|HEDY,F,EBY,27,,27,33233,EDI,1.0,3
BIN|DIM,M,DIN,,22,22,77,DIM,1.0,3
CHI|SHIH,F,SHI,20,,20,139,CHI,1.0,3
SAEL|SAL|SAUEL|SAUL|SIEL|SIL|SOEL|SOL|SUAIL|SUEL|SUHAIL|ZAEL|ZAIL|ZAUL|ZEL|ZIEL|ZOEL|ZUEL|ZUIL,M,ZIL,21,37,58,7853,SAUL,0.6379310344827587,3
KAEN|KEN,M,KEM,,22,22,242,KEN,1.0,3
ASSAE|ASSER,M,AXE,,31,31,87,AXE,1.0,3
HEIO|HEIOR|IHOR|IO,M,IOR,,127,127,252,IOR,1.0,3
BUIU|DIOU|DIU,M,BIU,,55,55,149,DIOU,1.0,3
CAII|CAUI|CIA|KAI|KAUEI|KAUI|KAY,M,CAI,25,116,141,510,CAI,0.8226950354609929,3
PAIOL|PAL|PAOL|PAUL|POL|POOL|POUL,M,PIL,,53,53,2331,PAUL,1.0,3
HARO|HARRO|HARUO|HARUYO,M,ARO,,35,35,395,HARUO,1.0,3
EINE|EINER|HEINE|HEINER|HINAE|INAE|INAER|INER|UINE|YNAE|YNNAE,F,INE,193,,193,2254,INAE,1.0,3
MEIK|MIK|MYK,M,MIC,,20,20,178,MIK,1.0,3
BIU|BUIU|DIOU,M,DIU,,27,27,149,DIOU,1.0,3
SAIR|SUIA|SUYA|ZAHIR|ZAIR,M,ZAI,,20,20,1057,ZAIR,1.0,3
CAEU|CEU|KAEU,M,KEU,,20,20,152,KAEU,1.0,3
DEA,F,BEA,21,,21,1813,DEA,1.0,3
EIKE|EUICE|EYKE|HEIKE|ICE|IKER,M,IKE,,55,55,1015,EIKE,1.0,3
ROK,M,ROC,,48,48,209,ROK,1.0,3
PAIOL|PAOL|PAUL|PIL|POL|POOL|POUL,M,PAL,,20,20,2331,PAUL,1.0,3
AILO|AILOR|ALO|ALOR|AULO|ELHO|ELO|ELOH|ELOR|EOLO|EULO|HELHO|HELO|HELUO|HILO|IALO|ILHO|ILO|ILOR|IULO|LO|LOR|LUO|OAULO|UELHO|UILO|YULO,M,ULO,,24,24,4873,ELHO,1.0,3
BEL|BIEL|BIL|DAEL|DAHIL|DAIL|DAL|DEIL|DEL|DEUEL|DIEL|DIL|DOEL|DUIL,M,BAL,,26,26,2348,DIEL,1.0,3
RYU,M,RIU,,60,60,149,RYU,1.0,3
AILO|AILOR|ALOR|AULO|ELHO|ELO|ELOH|ELOR|EOLO|EULO|HELHO|HELO|HELUO|HILO|IALO|ILHO|ILO|ILOR|IULO|LO|LOR|LUO|OAULO|UELHO|UILO|ULO|YULO,M,ALO,,31,31,4873,ELHO,1.0,3
ETOR|HETOR,M,ETO,,59,59,272,HETOR,1.0,3
ALOS|AULOS|ELOS|LUOS|LUOZ,M,LOS,23,29,52,319,LUOS,0.5576923076923077,3
DAU,M,BAU,,24,24,50,DAU,1.0,3
FAIR,F,FIA,98,,98,118,FIA,1.0,3
NEIO,M,NIO,,36,36,177,NEIO,1.0,3
GO|GUO|HGOR|JHO|JO|JOH|JOR|JUHO,M,GOR,,22,22,302,JOH,1.0,3
RAHI|RAI|RAIR|RAUI|RAUY|RAY|RAYR|RHAI|RHAY|RYA,F,RIA,226,160,386,31233,RAI,0.5854922279792746,3
NEM,M,NEN,,48,48,261,NEM,1.0,3
GO|GOR|GUO|HGOR|JO|JOH|JOR|JUHO,M,JHO,,81,81,302,JOH,1.0,3
EI|HI|HUI|IR|UI|YI,M,YUI,,20,20,65,HUI,1.0,3
AHN|AN|ANN|HAN,M,AAN,,24,24,268,ANN,1.0,3
HYUN,M,YUN,44,46,90,222,HYUN,0.5111111111111111,3
CEIR|CI|CIR|KEI|KEY|KI,F,CEI,23,22,45,518,CEIR,0.5111111111111111,3
ZEU,M,SEU,,250,250,283,SEU,1.0,3
GEI|GEIR|GEY|GI|GUI|GUY|JEI|JEIR|JI|JUI|JUIR,M,JIR,,20,20,1114,GUY,1.0,3
EIDE|EIDER|EYDE|EYDER|HEIBER|HEIDE|HEIDER|HEYDE|HEYDER|HIDE|HIDER|HYDE|IBER|IDE|IDER|IEIDE|UEIDE|UEIDER|UIDE|UIDER,M,IBE,,27,27,9425,IDE,1.0,3
EIDI|EIDIR|EIDY|EYDI|HEIDI|HEIDY|HEYDI|HEYDY|HIDI|IDEI|IDEIR|IDI|IDIR|IDUIR|IDY,M,IBI,,29,29,3455,HEIDI,1.0,3
PAIOL|PAL|PAOL|PAUL|PIL|POOL|POUL,M,POL,,49,49,2331,PAUL,1.0,3
HYE|IE|YAE|YE,M,YEH,,20,20,121,HYE,1.0,3
EZO|HEZO,M,ESO,,45,45,230,EZO,1.0,3
ERK,M,ERC,,107,107,182,ERC,1.0,3
ELK|HELK|UILK,F,ILK,22,,22,243,ELK,1.0,3
AEL|AIL|AL|EL|HIEL|HOEL|IEL|IL|OEL|UEL|UIL|YAEL|YUL,M,HIL,,33,33,476,YAEL,1.0,3
CAUO|CAYO|KAO|KAOR|KAYO|KHAYO,M,CAO,,72,72,5160,KAYO,1.0,3
